,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
61,62,2217,8,1,159,13,16,188,767,283,60,4.08,1.51,20,2,1,PS Grobs,112966,2,"{'name': 'PS Grobs', 'clubId': 112966, 'regionId': 4344147, 'teamId': 9, 'customKit': {'stadName': 'The Priory', 'kitId': '73728', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7626', 'customAwayKitId': '7649', 'customThirdKitId': '7601', 'customKeeperKitId': '5002', 'kitColor1': '592397', 'kitColor2': '7122142', 'kitColor3': '1841428', 'kitColor4': '7122142', 'kitAColor1': '15921906', 'kitAColor2': '14935011', 'kitAColor3': '14935011', 'kitAColor4': '592397', 'kitThrdColor1': '7122142', 'kitThrdColor2': '8237531', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '3', 'crestColor': '-1', 'crestAssetId': '99091112'}}",common-gen4
62,63,2215,8,1,173,9,25,207,720,234,86,3.48,1.13,20,2,2,C A F E,1762016,2,"{'name': 'C A F E', 'clubId': 1762016, 'regionId': 5064001, 'teamId': 21, 'customKit': {'stadName': 'ملعب الدرجة 1', 'kitId': '172033', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160501'}}",common-gen4
63,64,2209,8,1,210,17,33,260,1134,500,63,4.36,1.92,20,2,2,Sklaven CF,1689126,2,"{'name': 'Sklaven CF', 'clubId': 1689126, 'regionId': 4539733, 'teamId': 245, 'customKit': {'stadName': 'Käfig', 'kitId': '14942208', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7648', 'customAwayKitId': '7648', 'customThirdKitId': '7648', 'customKeeperKitId': '5005', 'kitColor1': '14358546', 'kitColor2': '12525622', 'kitColor3': '12525622', 'kitColor4': '12702174', 'kitAColor1': '7122142', 'kitAColor2': '8237531', 'kitAColor3': '8237531', 'kitAColor4': '592397', 'kitThrdColor1': '14935011', 'kitThrdColor2': '12702174', 'kitThrdColor3': '12702174', 'kitThrdColor4': '592397', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160118'}}",common-gen4
64,65,2209,6,1,167,17,22,206,721,228,79,3.50,1.11,20,1,3,S P R I N T,17676,1,"{'name': 'S P R I N T', 'clubId': 17676, 'regionId': 5064001, 'teamId': 1354, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '11091969', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160116'}}",common-gen4
65,66,2208,8,1,190,34,53,277,897,469,73,3.24,1.69,20,2,2,El CASTELÖ,190276,1,"{'name': 'El CASTELÖ', 'clubId': 190276, 'regionId': 5064001, 'teamId': 77, 'customKit': {'stadName': 'Kingdom Arena', 'kitId': '630784', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160313'}}",common-gen4
66,67,2208,8,1,173,22,27,222,738,303,68,3.32,1.36,20,2,1,A C M,112306,1,"{'name': 'A C M', 'clubId': 112306, 'regionId': 5064001, 'teamId': 47, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '385024', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7631', 'customAwayKitId': '7630', 'customThirdKitId': '7647', 'customKeeperKitId': '5032', 'kitColor1': '3554112', 'kitColor2': '15130831', 'kitColor3': '13979995', 'kitColor4': '13979995', 'kitAColor1': '6887227', 'kitAColor2': '1259409', 'kitAColor3': '13979995', 'kitAColor4': '15921906', 'kitThrdColor1': '15921906', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '1482375', 'dCustomKit': '3', 'crestColor': '-1', 'crestAssetId': '99121102'}}",common-gen4
67,68,2207,8,1,252,16,42,310,1068,410,98,3.45,1.32,20,2,3,Crohns Fc,701276,1,"{'name': 'Crohns Fc', 'clubId': 701276, 'regionId': 4344147, 'teamId': 1335, 'customKit': {'stadName': 'The City Ground', 'kitId': '10936320', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7629', 'customAwayKitId': '7629', 'customThirdKitId': '7629', 'customKeeperKitId': '5025', 'kitColor1': '14358546', 'kitColor2': '16774144', 'kitColor3': '14358546', 'kitColor4': '15921906', 'kitAColor1': '858211', 'kitAColor2': '1256053', 'kitAColor3': '16774144', 'kitAColor4': '592397', 'kitThrdColor1': '7122142', 'kitThrdColor2': '8237531', 'kitThrdColor3': '14935011', 'kitThrdColor4': '592397', 'dCustomKit': '3', 'crestColor': '0', 'crestAssetId': '99160122'}}",common-gen4
68,69,2207,8,1,152,20,24,196,724,310,42,3.69,1.58,20,2,3,The BoysRent,231371,2,"{'name': 'The BoysRent', 'clubId': 231371, 'regionId': 4344147, 'teamId': 109, 'customKit': {'stadName': 'Loftus Road', 'kitId': '892928', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7666', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '2704542', 'kitColor2': '16774144', 'kitColor3': '15921906', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160615'}}",common-gen4
69,70,2205,8,1,307,68,90,465,1382,744,120,2.97,1.60,20,2,4,Klees gs,187626,1,"{'name': 'Klees gs', 'clubId': 187626, 'regionId': 4344147, 'teamId': 243, 'customKit': {'stadName': 'The Klee Arena', 'kitId': '1990656', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7514', 'customAwayKitId': '7522', 'customThirdKitId': '7525', 'customKeeperKitId': '5007', 'kitColor1': '2704542', 'kitColor2': '15921906', 'kitColor3': '16774144', 'kitColor4': '15921906', 'kitAColor1': '8654629', 'kitAColor2': '15921906', 'kitAColor3': '16774144', 'kitAColor4': '15921906', 'kitThrdColor1': '396864', 'kitThrdColor2': '15921906', 'kitThrdColor3': '16774144', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '1987272', 'crestAssetId': '99160416'}}",common-gen4
70,71,2204,8,1,264,38,49,351,1143,451,119,3.26,1.28,20,2,1,Grassbox FC,639456,4,"{'name': 'Grassbox FC', 'clubId': 639456, 'regionId': 4344147, 'teamId': 10, 'customKit': {'stadName': 'Sirius Grass', 'kitId': '81920', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7616', 'customAwayKitId': '7645', 'customThirdKitId': '7703', 'customKeeperKitId': '5008', 'kitColor1': '592397', 'kitColor2': '7719080', 'kitColor3': '592397', 'kitColor4': '1909296', 'kitAColor1': '592397', 'kitAColor2': '1909296', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '396864', 'kitThrdColor2': '16774144', 'kitThrdColor3': '396864', 'kitThrdColor4': '16774144', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160101'}}",common-gen4
71,72,2200,8,1,275,46,83,404,1340,752,92,3.32,1.86,20,2,2,GOAT CLUB,17226,2,"{'name': 'GOAT CLUB', 'clubId': 17226, 'regionId': 5064001, 'teamId': 112172, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '918913027', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7645', 'customAwayKitId': '7540', 'customThirdKitId': '7665', 'customKeeperKitId': '5027', 'kitColor1': '4920087', 'kitColor2': '14277081', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '1841428', 'kitAColor2': '6316643', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '33627', 'kitThrdColor2': '1841428', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '1', 'crestColor': '0', 'crestAssetId': '99160108'}}",common-gen4
72,73,2199,5,1,110,6,13,129,500,179,42,3.88,1.39,20,1,1,The Dons Fc,166301,1,"{'name': 'The Dons Fc', 'clubId': 166301, 'regionId': 4539733, 'teamId': 47, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '385027', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160702'}}",common-gen4
73,74,2198,9,1,487,81,150,718,2322,1291,152,3.23,1.80,20,3,2,HERTHA BEBIM,987321,1,"{'name': 'HERTHA BEBIM', 'clubId': 987321, 'regionId': 5456205, 'teamId': 166, 'customKit': {'stadName': 'movido a arcool', 'kitId': '1359872', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404225', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160309'}}",common-gen4
74,75,2198,8,1,145,15,20,180,533,200,67,2.96,1.11,20,2,1,Team Sweat,194306,3,"{'name': 'Team Sweat', 'clubId': 194306, 'regionId': 5719381, 'teamId': 1386, 'customKit': {'stadName': 'Tier 2 Stadium', 'kitId': '11354112', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160703'}}",common-gen4
75,76,2197,8,1,296,61,66,423,1384,675,106,3.27,1.60,20,2,4,xJogä Bonitø,1497701,1,"{'name': 'xJogä Bonitø', 'clubId': 1497701, 'regionId': 5719381, 'teamId': 241, 'customKit': {'stadName': ""St. James' Park"", 'kitId': '1974272', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160817'}}",common-gen4
76,77,2196,8,1,174,23,29,226,857,383,65,3.79,1.69,20,2,1,De Pantybeukers,589096,1,"{'name': 'De Pantybeukers', 'clubId': 589096, 'regionId': 5719381, 'teamId': 1877, 'customKit': {'stadName': 'De Pantie', 'kitId': '15376387', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160615'}}",common-gen4
77,78,2193,8,1,163,13,31,207,807,317,63,3.90,1.53,20,2,2,Dynamo FACKA,40136,3,"{'name': 'Dynamo FACKA', 'clubId': 40136, 'regionId': 5719381, 'teamId': 19, 'customKit': {'stadName': 'Estadio José Zorrilla', 'kitId': '155648', 'seasonalTeamId': '0', 'seasonalKitId': '0', 'selectedKitType': '1', 'customKitId': '7634', 'customAwayKitId': '7629', 'customThirdKitId': '7630', 'customKeeperKitId': '5014', 'kitColor1': '4920087', 'kitColor2': '16774144', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '7122142', 'kitAColor2': '16774144', 'kitAColor3': '1909296', 'kitAColor4': '15921906', 'kitThrdColor1': '11786', 'kitThrdColor2': '592397', 'kitThrdColor3': '16774144', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '16244746', 'crestAssetId': '99050704'}}",common-gen4
78,79,2192,8,1,297,41,64,402,1182,435,163,2.94,1.08,20,2,2,S i L E N T,15121,3,"{'name': 'S i L E N T', 'clubId': 15121, 'regionId': 5064001, 'teamId': 453, 'customKit': {'stadName': 'Celtic Park', 'kitId': '3710979', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99160310'}}",common-gen4
79,80,2191,7,1,118,8,13,139,598,199,44,4.30,1.43,7,2,6,dolh FC,2419921,1,"{'name': 'dolh FC', 'clubId': 2419921, 'regionId': 5064001, 'teamId': 361, 'customKit': {'stadName': 'Estádio do Dragão', 'kitId': '2957313', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '1', 'customKitId': '7703', 'customAwayKitId': '7703', 'customThirdKitId': '7629', 'customKeeperKitId': '5017', 'kitColor1': '2164288', 'kitColor2': '9838384', 'kitColor3': '1482375', 'kitColor4': '15921906', 'kitAColor1': '1482375', 'kitAColor2': '2164288', 'kitAColor3': '16045584', 'kitAColor4': '15921906', 'kitThrdColor1': '1909296', 'kitThrdColor2': '3427409', 'kitThrdColor3': '15921906', 'kitThrdColor4': '3427409', 'dCustomKit': '0', 'crestColor': '9127890', 'crestAssetId': '99140909'}}",common-gen4
80,81,2191,8,1,251,29,34,314,1119,422,95,3.56,1.34,20,2,2,PhilosophyFC,836496,1,"{'name': 'PhilosophyFC', 'clubId': 836496, 'regionId': 4543827, 'teamId': 240, 'customKit': {'stadName': 'Estadio Benito Villamarín', 'kitId': '1966083', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160103'}}",common-gen4
81,82,2189,5,1,121,15,10,146,556,150,60,3.81,1.03,0,1,0,I C U,1772626,1,"{'name': 'I C U', 'clubId': 1772626, 'regionId': 5064001, 'teamId': 36, 'customKit': {'stadName': 'Villa Park', 'kitId': '294912', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160625'}}",common-gen4
82,83,2189,8,1,195,30,50,275,872,469,65,3.17,1.71,20,2,2,Class in Grass,39226,2,"{'name': 'Class in Grass', 'clubId': 39226, 'regionId': 5064001, 'teamId': 11, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '90112', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '14358546', 'kitColor2': '15921906', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160919'}}",common-gen4
83,84,2188,8,1,251,60,115,426,1235,790,96,2.90,1.85,20,2,4,Las  Cabras,938846,1,"{'name': 'Las  Cabras', 'clubId': 938846, 'regionId': 5457237, 'teamId': 1362, 'customKit': {'stadName': 'Estadio de nivel 3', 'kitId': '11157504', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7540', 'customAwayKitId': '7622', 'customThirdKitId': '7542', 'customKeeperKitId': '5005', 'kitColor1': '16687883', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '13979995', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '1336871', 'kitThrdColor2': '592397', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99130108'}}",common-gen4
84,85,2187,5,1,77,6,11,94,329,150,31,3.50,1.60,20,1,1,Powerrr,1387721,1,"{'name': 'Powerrr', 'clubId': 1387721, 'regionId': 5064001, 'teamId': 247, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '2023427', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160319'}}",common-gen4
85,86,2187,6,1,202,30,42,274,882,421,77,3.22,1.54,0,1,0,Munn Accounting,106226,1,"{'name': 'Munn Accounting', 'clubId': 106226, 'regionId': 4344147, 'teamId': 112979, 'customKit': {'stadName': 'Estadio Presidente Perón', 'kitId': '925523968', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7672', 'customAwayKitId': '7510', 'customThirdKitId': '7570', 'customKeeperKitId': '5028', 'kitColor1': '592397', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '22436', 'kitThrdColor2': '7122142', 'kitThrdColor3': '396864', 'kitThrdColor4': '7122142', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99030103'}}",common-gen4
86,87,2186,8,1,148,19,39,206,730,392,39,3.54,1.90,20,2,3,Poor Gang,168421,1,"{'name': 'Poor Gang', 'clubId': 168421, 'regionId': 5064001, 'teamId': 327, 'customKit': {'stadName': 'Be caerful', 'kitId': '2678785', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160107'}}",common-gen4
87,88,2185,8,1,138,11,18,167,619,215,62,3.71,1.29,20,2,1,burner boyzz,2060056,1,"{'name': 'burner boyzz', 'clubId': 2060056, 'regionId': 4407629, 'teamId': 10, 'customKit': {'stadName': 'I JUST DABBED', 'kitId': '81920', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7627', 'customAwayKitId': '7633', 'customThirdKitId': '7536', 'customKeeperKitId': '5016', 'kitColor1': '16687883', 'kitColor2': '15921906', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '1841428', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '15921906', 'kitThrdColor2': '14935011', 'kitThrdColor3': '592397', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '16495884', 'crestAssetId': '99160808'}}",common-gen4
88,89,2185,6,1,189,23,44,256,931,428,65,3.64,1.67,20,1,1,Invictos CF,1551751,1,"{'name': 'Invictos CF', 'clubId': 1551751, 'regionId': 4407629, 'teamId': 241, 'customKit': {'stadName': 'Red Bull Arena (Leipzig)', 'kitId': '1974272', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7627', 'customAwayKitId': '7627', 'customThirdKitId': '7627', 'customKeeperKitId': '5031', 'kitColor1': '4002593', 'kitColor2': '16464712', 'kitColor3': '4920087', 'kitColor4': '16464712', 'kitAColor1': '15921906', 'kitAColor2': '592397', 'kitAColor3': '592397', 'kitAColor4': '592397', 'kitThrdColor1': '16774144', 'kitThrdColor2': '1841428', 'kitThrdColor3': '1841428', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '13179675', 'crestAssetId': '99160515'}}",common-gen4
89,90,2185,8,1,327,34,65,426,2064,1098,55,4.85,2.58,20,2,4,Makélélent,106531,2,"{'name': 'Makélélent', 'clubId': 106531, 'regionId': 5457237, 'teamId': 243, 'customKit': {'stadName': 'Stade niveau 1', 'kitId': '1990656', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7518', 'customAwayKitId': '7648', 'customThirdKitId': '7520', 'customKeeperKitId': '5000', 'kitColor1': '22436', 'kitColor2': '14358546', 'kitColor3': '16774144', 'kitColor4': '16774144', 'kitAColor1': '1336871', 'kitAColor2': '15921906', 'kitAColor3': '14358546', 'kitAColor4': '15921906', 'kitThrdColor1': '14358546', 'kitThrdColor2': '592397', 'kitThrdColor3': '15921906', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '10278653', 'crestAssetId': '99160311'}}",common-gen4
90,91,2184,8,1,245,23,40,308,1331,635,73,4.32,2.06,20,2,2,Pabz FC,1161826,1,"{'name': 'Pabz FC', 'clubId': 1161826, 'regionId': 5457237, 'teamId': 73, 'customKit': {'stadName': 'El Alcoraz', 'kitId': '598016', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7539', 'customAwayKitId': '7648', 'customThirdKitId': '7524', 'customKeeperKitId': '5015', 'kitColor1': '592397', 'kitColor2': '2704542', 'kitColor3': '15921906', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '1336871', 'kitAColor3': '1336871', 'kitAColor4': '1336871', 'kitThrdColor1': '15921906', 'kitThrdColor2': '12762028', 'kitThrdColor3': '15921906', 'kitThrdColor4': '12762028', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160102'}}",common-gen4
91,92,2184,6,1,212,46,94,352,957,585,89,2.72,1.66,20,1,2,O P 7,16601,1,"{'name': 'O P 7', 'clubId': 16601, 'regionId': 5064001, 'teamId': 449, 'customKit': {'stadName': 'Ibrox Stadium', 'kitId': '3678211', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7850', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '11319490', 'kitColor2': '1713203', 'kitColor3': '12762028', 'kitColor4': '1713203', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '13543260', 'crestAssetId': '99160917'}}",common-gen4
