,rank,skillRating,reputationlevel,bestDivision,wins,ties,losses,gamesPlayed,goals,goalsAgainst,cleanSheets,goalsPerGame,goalsAgainstPerGame,gamesPlayedPlayoff,reputationtier,bestFinishGroup,clubName,clubId,currentDivision,clubInfo,platform
20,21,2283,8,1,236,32,27,295,1025,406,97,3.47,1.38,20,2,1,Spectrum,316816,2,"{'name': 'Spectrum', 'clubId': 316816, 'regionId': 4344147, 'teamId': 1, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '8192', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7541', 'customAwayKitId': '7539', 'customThirdKitId': '7524', 'customKeeperKitId': '5028', 'kitColor1': '15130831', 'kitColor2': '6316643', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '1256053', 'kitAColor2': '7122142', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '592397', 'kitThrdColor2': '11319490', 'kitThrdColor3': '11319490', 'kitThrdColor4': '11319490', 'dCustomKit': '1', 'crestColor': '-1', 'crestAssetId': '99161022'}}",common-gen4
21,22,2282,8,1,228,12,23,263,1109,399,92,4.22,1.52,20,2,2,i C 0 N S,37311,1,"{'name': 'i C 0 N S', 'clubId': 37311, 'regionId': 5064001, 'teamId': 110556, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '905674755', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161017'}}",common-gen4
22,23,2279,8,1,190,20,31,241,807,249,106,3.35,1.03,20,2,1,F L Y,1257231,3,"{'name': 'F L Y', 'clubId': 1257231, 'regionId': 5064001, 'teamId': 100087, 'customKit': {'stadName': 'Municipal de Ipurua', 'kitId': '819912705', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99161026'}}",common-gen4
23,24,2279,8,1,176,26,47,249,806,383,73,3.24,1.54,20,2,4,ChocCharvas,633026,1,"{'name': 'ChocCharvas', 'clubId': 633026, 'regionId': 5457237, 'teamId': 13, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '106496', 'seasonalTeamId': '131398', 'seasonalKitId': '1076412416', 'selectedKitType': '1', 'customKitId': '7633', 'customAwayKitId': '7643', 'customThirdKitId': '7543', 'customKeeperKitId': '5008', 'kitColor1': '4133724', 'kitColor2': '16774144', 'kitColor3': '14655653', 'kitColor4': '7192366', 'kitAColor1': '15921906', 'kitAColor2': '8237531', 'kitAColor3': '16774144', 'kitAColor4': '15921906', 'kitThrdColor1': '33627', 'kitThrdColor2': '8654629', 'kitThrdColor3': '15921906', 'kitThrdColor4': '16774144', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99090113'}}",common-gen4
24,25,2276,8,1,228,24,33,285,987,301,115,3.46,1.06,20,2,1,L E G A C Y,1070051,5,"{'name': 'L E G A C Y', 'clubId': 1070051, 'regionId': 5064001, 'teamId': 32, 'customKit': {'stadName': 'Parc des Princes', 'kitId': '262144', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160614'}}",common-gen4
25,26,2274,9,1,569,117,241,927,2717,1667,236,2.93,1.80,20,3,2,JUBA1,241251,1,"{'name': 'JUBA1', 'clubId': 241251, 'regionId': 5064001, 'teamId': 180, 'customKit': {'stadName': 'Tier 3 Stadium', 'kitId': '1474560', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7703', 'customAwayKitId': '7852', 'customThirdKitId': '7532', 'customKeeperKitId': '5005', 'kitColor1': '1841428', 'kitColor2': '4920087', 'kitColor3': '8237531', 'kitColor4': '15921906', 'kitAColor1': '8237531', 'kitAColor2': '1841428', 'kitAColor3': '8654629', 'kitAColor4': '15921906', 'kitThrdColor1': '4920087', 'kitThrdColor2': '11194602', 'kitThrdColor3': '1841428', 'kitThrdColor4': '592397', 'dCustomKit': '0', 'crestColor': '13543260', 'crestAssetId': '99151105'}}",common-gen4
26,27,2265,8,1,204,37,86,327,963,596,82,2.94,1.82,20,2,2,rett9,320781,1,"{'name': 'rett9', 'clubId': 320781, 'regionId': 5064001, 'teamId': 105035, 'customKit': {'stadName': 'ملعب الدرجة 3', 'kitId': '860446720', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160418'}}",common-gen4
27,28,2265,8,1,232,28,51,311,1045,468,84,3.36,1.50,12,2,5,HAKONA MATATA,69466,1,"{'name': 'HAKONA MATATA', 'clubId': 69466, 'regionId': 5064001, 'teamId': 113044, 'customKit': {'stadName': 'Mercedes-Benz Stadium', 'kitId': '926056449', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7509', 'customAwayKitId': '7509', 'customThirdKitId': '7511', 'customKeeperKitId': '5005', 'kitColor1': '15921906', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '592397', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '33627', 'kitThrdColor3': '396864', 'kitThrdColor4': '2164288', 'dCustomKit': '0', 'crestColor': '-1', 'crestAssetId': '99160219'}}",common-gen4
28,29,2263,7,1,144,1,7,152,694,168,64,4.57,1.11,20,2,1,FC Renoresa,31166,5,"{'name': 'FC Renoresa', 'clubId': 31166, 'regionId': 5129557, 'teamId': 112172, 'customKit': {'stadName': 'Chateau Jardins', 'kitId': '918913025', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '0', 'customKitId': '7525', 'customAwayKitId': '7523', 'customThirdKitId': '7641', 'customKeeperKitId': '5005', 'kitColor1': '1256053', 'kitColor2': '592397', 'kitColor3': '13979995', 'kitColor4': '15921906', 'kitAColor1': '15921906', 'kitAColor2': '1713203', 'kitAColor3': '16045584', 'kitAColor4': '1909296', 'kitThrdColor1': '592397', 'kitThrdColor2': '16774144', 'kitThrdColor3': '16774144', 'kitThrdColor4': '16774144', 'dCustomKit': '0', 'crestColor': '13574250', 'crestAssetId': '99161003'}}",common-gen4
29,30,2262,8,1,166,9,12,187,690,236,68,3.69,1.26,20,2,1,Le Plog,185936,4,"{'name': 'Le Plog', 'clubId': 185936, 'regionId': 5129557, 'teamId': 9, 'customKit': {'stadName': 'MHPArena', 'kitId': '73728', 'seasonalTeamId': '131397', 'seasonalKitId': '1076404224', 'selectedKitType': '1', 'customKitId': '7632', 'customAwayKitId': '7632', 'customThirdKitId': '7632', 'customKeeperKitId': '5002', 'kitColor1': '11194602', 'kitColor2': '592397', 'kitColor3': '592397', 'kitColor4': '15921906', 'kitAColor1': '592397', 'kitAColor2': '15921906', 'kitAColor3': '15921906', 'kitAColor4': '15921906', 'kitThrdColor1': '12706617', 'kitThrdColor2': '592397', 'kitThrdColor3': '592397', 'kitThrdColor4': '15921906', 'dCustomKit': '0', 'crestColor': '0', 'crestAssetId': '99160118'}}",common-gen4
